,Basic GA,Adaptive Fitness,MIO Crossover,MIO Replacement
abz5(10¡¿10),1362.4,1417.6,1340.6,1325.1
abz6(10¡¿10),1053.4,1116.1,1003.4,991.2
abz7(20¡¿15),891.9,964.2,806.3,789.8
abz8(20¡¿15),935.9,987.7,831.5,811.1
abz9(20¡¿15),944.8,1012,898.2,869.2
Custom(20¡¿20),1111.1,1175.9,984.5,976.1
Custom(30¡¿30),1914.7,2030.3,1559.4,1531
Custom(40¡¿40),2695.7,2843.2,2055.2,2008.3
Custom(50¡¿20),2122.5,2226.2,1671.7,1646.5
Custom(100¡¿15),3448.2,3552,2994.7,2960.1
