,Data,Mode,Makespan,Time
124,abz8,Plain,924,135.0541
125,abz8,Plain,929,135.6368
126,abz8,Plain,941,136.3541
127,abz8,Plain,950,135.9733
128,abz8,Plain,934,136.329
129,abz8,Plain,916,135.0966
130,abz8,Plain,965,137.7358
131,abz8,Fitness,1126,150.3329
132,abz8,Fitness,1120,144.6212
133,abz8,Fitness,1144,142.9028
134,abz8,Fitness,1079,145.7721
135,abz8,Fitness,1135,144.5165
136,abz8,Fitness,1145,144.8223
137,abz8,Fitness,1126,148.1837
138,abz8,Fitness,1110,148.8239
139,abz8,Fitness,1137,144.1525
140,abz8,Fitness,1094,138.9364
141,abz8,Replacement,814,136.3443
142,abz8,Replacement,824,135.6572
143,abz8,Replacement,791,135.1324
144,abz8,Replacement,811,137.075
145,abz8,Replacement,805,136.7782
146,abz8,Replacement,821,136.2466
147,abz8,Replacement,825,138.9824
148,abz8,Replacement,815,135.714
149,abz8,Replacement,805,136.8759
150,abz8,Replacement,800,135.5584
151,abz8,Crossover,847,133.1968
152,abz8,Crossover,847,133.7962
153,abz8,Crossover,832,134.3363
154,abz8,Crossover,825,134.5448
155,abz8,Crossover,830,133.7768
156,abz8,Crossover,823,134.2038
157,abz8,Crossover,831,133.4571
158,abz8,Crossover,824,134.8294
159,abz8,Crossover,841,134.232
160,abz8,Crossover,815,134.0206
161,abz9,Plain,925,137.0652
162,abz9,Plain,962,137.196
163,abz9,Plain,925,136.123
164,abz9,Plain,962,136.6735
165,abz9,Plain,957,136.6526
166,abz9,Plain,905,137.221
167,abz9,Plain,988,137.8055
168,abz9,Plain,924,135.5444
169,abz9,Plain,941,135.6427
170,abz9,Plain,959,137.0538
171,abz9,Fitness,1131,144.5914
172,abz9,Fitness,1137,148.2475
173,abz9,Fitness,1139,140.8658
174,abz9,Fitness,1096,145.9891
175,abz9,Fitness,1121,148.6494
176,abz9,Fitness,1141,147.7768
177,abz9,Fitness,1150,142.6868
178,abz9,Fitness,1132,147.3372
179,abz9,Fitness,1142,145.0341
180,abz9,Fitness,1057,141.3221
181,abz9,Replacement,874,137.282
182,abz9,Replacement,854,134.7181
183,abz9,Replacement,861,133.8879
184,abz9,Replacement,876,136.3723
185,abz9,Replacement,849,136.5
186,abz9,Replacement,875,134.3587
187,abz9,Replacement,900,134.2999
188,abz9,Replacement,860,135.2917
189,abz9,Replacement,859,134.968
190,abz9,Replacement,884,133.841
191,abz9,Crossover,898,136.2428
192,abz9,Crossover,907,135.8397
193,abz9,Crossover,905,135.5984
194,abz9,Crossover,882,135.7529
195,abz9,Crossover,893,135.6085
196,abz9,Crossover,890,136.298
197,abz9,Crossover,912,134.7865
198,abz9,Crossover,875,135.1356
199,abz9,Crossover,904,138.1336
200,abz9,Crossover,916,147.3774
201,test_10015,Plain,3365,976.7701
202,test_10015,Plain,3401,958.4815
203,test_10015,Plain,3481,954.6881
204,test_10015,Plain,3474,935.9878
205,test_10015,Plain,3564,947.3464
206,test_10015,Plain,3401,945.5812
207,test_10015,Plain,3445,940.3158
208,test_10015,Plain,3438,957.8106
209,test_10015,Plain,3432,953.8019
210,test_10015,Plain,3481,932.8915
211,test_10015,Fitness,3891,969.0459
212,test_10015,Fitness,3929,971.6293
213,test_10015,Fitness,3920,965.8864
214,test_10015,Fitness,3876,978.776
215,test_10015,Fitness,3815,954.845
216,test_10015,Fitness,3890,952.3804
217,test_10015,Fitness,3935,955.8256
218,test_10015,Fitness,3895,946.5102
219,test_10015,Fitness,3821,938.9015
220,test_10015,Fitness,3880,951.1855
221,test_10015,Replacement,2951,717.8045
222,test_10015,Replacement,2948,704.2649
223,test_10015,Replacement,2956,704.0758
224,test_10015,Replacement,2965,699.6531
225,test_10015,Replacement,2977,753.1916
226,test_10015,Replacement,2954,708.54
227,test_10015,Replacement,2967,710.8591
228,test_10015,Replacement,2973,708.4035
229,test_10015,Replacement,2960,718.3019
230,test_10015,Replacement,2950,708.0918
231,test_10015,Crossover,2995,731.2895
232,test_10015,Crossover,3001,732.4534
233,test_10015,Crossover,2996,704.9663
234,test_10015,Crossover,2994,733.7665
235,test_10015,Crossover,2995,735.0467
236,test_10015,Crossover,3013,738.1418
237,test_10015,Crossover,2987,733.0711
238,test_10015,Crossover,2972,733.961
239,test_10015,Crossover,2985,732.9767
