,Data,Mode,Makespan,Time
236,test_10015,Crossover,3013,738.1418
237,test_10015,Crossover,2987,733.0711
238,test_10015,Crossover,2972,733.961
239,test_10015,Crossover,2985,732.9767
240,test_10015,Crossover,3009,735.5766
241,test_2020,Plain,1115,184.4803
242,test_2020,Plain,1095,187.0039
243,test_2020,Plain,1093,187.7899
244,test_2020,Plain,1091,184.8576
245,test_2020,Plain,1127,185.4291
246,test_2020,Plain,1082,186.0045
247,test_2020,Plain,1150,182.1638
248,test_2020,Plain,1089,188.435
249,test_2020,Plain,1148,186.9496
250,test_2020,Plain,1121,185.883
261,test_2020,Replacement,967,199.5034
262,test_2020,Replacement,974,200.4848
263,test_2020,Replacement,987,197.5785
264,test_2020,Replacement,968,195.9687
265,test_2020,Replacement,954,200.1337
266,test_2020,Replacement,990,199.4054
267,test_2020,Replacement,996,199.6351
268,test_2020,Replacement,975,198.0763
269,test_2020,Replacement,971,198.399
270,test_2020,Replacement,979,197.5287
271,test_2020,Crossover,989,194.0071
272,test_2020,Crossover,970,197.4517
273,test_2020,Crossover,957,195.6697
274,test_2020,Crossover,1026,195.6427
275,test_2020,Crossover,978,195.2463
276,test_2020,Crossover,991,203.704
277,test_2020,Crossover,998,196.9645
278,test_2020,Crossover,1002,197.3725
279,test_2020,Crossover,957,195.6228
280,test_2020,Crossover,977,197.9396
281,test_3030,Plain,1885,428.15
282,test_3030,Plain,1961,438.6938
283,test_3030,Plain,1939,438.4718
284,test_3030,Plain,1930,436.9953
285,test_3030,Plain,1934,435.5217
286,test_3030,Plain,1947,442.4512
287,test_3030,Plain,1852,432.4321
288,test_3030,Plain,1948,480.0967
289,test_3030,Plain,1868,434.0502
290,test_3030,Plain,1883,431.6597
301,test_3030,Replacement,1535,398.88
302,test_3030,Replacement,1492,398.5741
303,test_3030,Replacement,1526,402.37
304,test_3030,Replacement,1522,395.6229
305,test_3030,Replacement,1538,400.2413
306,test_3030,Replacement,1535,399.2995
307,test_3030,Replacement,1537,400.489
308,test_3030,Replacement,1523,398.7545
309,test_3030,Replacement,1531,400.8382
310,test_3030,Replacement,1571,399.3888
311,test_3030,Crossover,1529,400.3193
312,test_3030,Crossover,1542,402.7739
313,test_3030,Crossover,1563,400.5983
314,test_3030,Crossover,1553,401.0155
315,test_3030,Crossover,1568,401.2804
316,test_3030,Crossover,1584,399.5802
317,test_3030,Crossover,1526,400.8658
318,test_3030,Crossover,1609,399.7089
319,test_3030,Crossover,1554,399.7208
320,test_3030,Crossover,1566,400.5178
321,test_4040,Plain,2733,687.1065
322,test_4040,Plain,2804,700.0056
323,test_4040,Plain,2724,684.7572
324,test_4040,Plain,2669,681.8418
325,test_4040,Plain,2668,671.8568
326,test_4040,Plain,2675,689.5714
327,test_4040,Plain,2666,684.2651
328,test_4040,Plain,2712,685.864
329,test_4040,Plain,2662,690.9212
330,test_4040,Plain,2644,693.5233
341,test_4040,Replacement,2009,691.5383
342,test_4040,Replacement,2015,661.543
343,test_4040,Replacement,1988,690.3899
344,test_4040,Replacement,1976,690.311
345,test_4040,Replacement,2009,673.2555
346,test_4040,Replacement,2013,687.1462
347,test_4040,Replacement,2013,686.7237
348,test_4040,Replacement,2024,687.3591
349,test_4040,Replacement,2020,664.5654
350,test_4040,Replacement,2016,682.7042
351,test_4040,Crossover,2048,670.7996
352,test_4040,Crossover,2063,677.7429
353,test_4040,Crossover,2028,678.0369
354,test_4040,Crossover,2072,670.7891
355,test_4040,Crossover,2088,671.7296
356,test_4040,Crossover,2037,671.7375
357,test_4040,Crossover,2054,681.755
358,test_4040,Crossover,2045,679.1033
359,test_4040,Crossover,2065,678.6829
360,test_4040,Crossover,2052,677.1446
361,test_5020,Plain,2111,548.6278
362,test_5020,Plain,2228,529.1019
363,test_5020,Plain,2070,563.9788
364,test_5020,Plain,2126,597.0065
365,test_5020,Plain,2172,539.7263
366,test_5020,Plain,2060,549.0187
367,test_5020,Plain,2107,553.394
368,test_5020,Plain,2075,545.2819
369,test_5020,Plain,2129,561.1296
370,test_5020,Plain,2147,557.9441
381,test_5020,Replacement,1649,505.8615
382,test_5020,Replacement,1634,507.9855
383,test_5020,Replacement,1635,508.2198
384,test_5020,Replacement,1659,512.3548
385,test_5020,Replacement,1622,508.9241
386,test_5020,Replacement,1662,511.2535
387,test_5020,Replacement,1643,503.1713
388,test_5020,Replacement,1658,516.9525
389,test_5020,Replacement,1644,505.6888
390,test_5020,Replacement,1659,505.059
391,test_5020,Crossover,1681,514.881
392,test_5020,Crossover,1683,521.1509
393,test_5020,Crossover,1672,515.7503
394,test_5020,Crossover,1681,524.0888
395,test_5020,Crossover,1692,517.5321
396,test_5020,Crossover,1669,523.6582
397,test_5020,Crossover,1649,511.069
398,test_5020,Crossover,1658,510.9209
399,test_5020,Crossover,1665,513.9616
400,test_5020,Crossover,1667,517.6894
401,abz5,Fitness,1405,55.2104
402,abz5,Fitness,1450,55.0181
403,abz5,Fitness,1358,54.9331
404,abz5,Fitness,1425,55.0807
405,abz5,Fitness,1463,54.6466
406,abz6,Fitness,1133,55.3211
407,abz6,Fitness,1115,55.0855
408,abz6,Fitness,1087,54.8989
409,abz6,Fitness,1150,55.2443
410,abz6,Fitness,1098,54.9622
411,abz7,Fitness,990,142.4147
412,abz7,Fitness,1022,146.804
413,abz7,Fitness,952,139.3085
414,abz7,Fitness,944,142.2187
415,abz7,Fitness,950,141.63
416,abz8,Fitness,998,140.7486
417,abz8,Fitness,935,138.4839
418,abz8,Fitness,1003,140.6865
419,abz8,Fitness,918,138.5269
420,abz8,Fitness,1010,141.0644
421,abz9,Fitness,983,142.7865
422,abz9,Fitness,977,140.4755
423,abz9,Fitness,990,140.4072
424,abz9,Fitness,1041,142.9929
425,abz9,Fitness,1016,143.8238
426,test_10015,Fitness,3615,993.2844
427,test_10015,Fitness,3545,968.7363
428,test_10015,Fitness,3650,1000.6534
429,test_10015,Fitness,3498,991.0942
430,test_10015,Fitness,3688,1001.7752
431,test_2020,Fitness,1186,191.5332
432,test_2020,Fitness,1173,193.6531
433,test_2020,Fitness,1137,191.5708
434,test_2020,Fitness,1197,188.8613
435,test_2020,Fitness,1163,188.932
436,test_3030,Fitness,2009,470.1494
437,test_3030,Fitness,2086,481.4875
438,test_3030,Fitness,2020,472.3512
439,test_3030,Fitness,2026,472.6473
440,test_3030,Fitness,2030,475.3073
441,test_4040,Fitness,2915,729.6914
442,test_4040,Fitness,2800,745.1741
443,test_4040,Fitness,2905,731.8248
444,test_4040,Fitness,2887,732.6111
445,test_4040,Fitness,2826,726.959
446,test_5020,Fitness,2262,574.5123
447,test_5020,Fitness,2204,565.2618
448,test_5020,Fitness,2255,575.3579
449,test_5020,Fitness,2213,560.9759
450,test_5020,Fitness,2126,544.3363
451,abz5,Fitness,1466,54.4305
452,abz5,Fitness,1378,52.917
453,abz5,Fitness,1411,53.6894
454,abz5,Fitness,1417,53.471
455,abz5,Fitness,1403,53.5588
456,abz6,Fitness,1116,53.1937
457,abz6,Fitness,1147,53.1538
458,abz6,Fitness,1087,53.473
459,abz6,Fitness,1096,53.2107
460,abz6,Fitness,1132,53.0482
461,abz7,Fitness,956,135.3281
462,abz7,Fitness,980,135.6382
